name,type,mass,mass_error_plus,mass_error_minus,spin,spin_error_plus,spin_error_minus
GRO_J1655_40,Solar ,6.3,0.5,0.5,0.7,0.1,0.1
GRS_1716_249,Solar,6.45,1.55,1.55,0.92,0.08,0
A_0620_00,Solar,6.61,0.25,0.25,0.12,0.19,0.19
LMC_X_3,Solar,6.98,0.56,0.56,0.25,0.13,0.16
GW170608_(Secondary),Solar,7.6,1.4,2.2,0.4,0.52,0.36
GW151226_(Secondary),Solar,7.7,2.2,2.5,0.51,0.44,0.45
XTE_J1550_564,Solar,9.1,0.61,0.61,0.34,0.37,0.34
4U_1543_475,Solar,9.4,1,1,0.8,0.1,0.1
LMC_X_1,Solar,10.91,1.41,1.41,0.92,0.05,0.07
GW170608_(Primary),Solar,11,5.5,1.7,0.32,0.5,0.28
GRS_1915_105,Solar,10.1,0.6,0.6,0.95,0.05,0
GRS_1124_683,Solar,11,1.4,1.4,0.63,0.16,0.16
GW151012_(Secondary),Solar,13.6,4.1,4.8,0.45,0.48,0.4
GW151226_(Primary),Solar,13.7,8.8,3.2,0.57,0.36,0.43
Cygnus_X_1,Solar,14.8,1,1,0.983,0.017,0
M33_X_7,Solar,15.65,1.45,1.45,0.84,0.05,0.05
GW170104_(Secondary),Solar,20,4.9,4.6,0.43,0.48,0.38
GW190814_(Primary),Solar,23.2,1.1,1,0.07,0,0.07
GW151012_(Primary),Solar,23.3,14.9,5.5,0.33,0.54,0.29
GW170809_(Secondary),Solar,23.8,5.1,5.2,0.42,0.5,0.37
GW170814_(Secondary),Solar,25.2,2.8,4,0.42,0.51,0.37
GW170818_(Secondary),Solar,26.7,4.3,5.2,0.46,0.47,0.42
GW170823_(Secondary),Solar,29,6.7,7.8,0.45,0.48,0.4
GW190412_(Primary),Solar,29.7,5,5.3,0.43,0.16,0.26
GW150914_(Secondary),Solar,30.6,3,4.4,0.34,0.53,0.3
GW170814_(Primary),Solar,30.6,5.6,3,0.4,0.52,0.36
GW170104_(Primary),Solar,30.8,7.3,5.6,0.34,0.52,0.3
GW170729_(Secondary),Solar,34,9.1,10.1,0.55,0.4,0.49
GW170809_(Primary),Solar,35,8.3,5.9,0.32,0.53,0.29
GW170818_(Primary),Solar,35.4,7.5,4.7,0.46,0.48,0.41
GW150914_(Primary),Solar,35.6,4.7,3.1,0.28,0.57,0.25
GW170823_(Primary),Solar,39.5,11.2,6.7,0.42,0.49,0.37
GW170729_(Primary),Solar,50.2,16.2,10.2,0.69,0.28,0.55
GW190521_(Secondary),Solar,66,17,18,0.73,0.24,0.64
GW190521_(Primary),Solar,85,21,14,0.69,0.27,0.62
Fairall_9,Supermassive,255000000,56000000,56000000,0.52,0.19,0.15
Mrk79,Supermassive,52400000,14400000,14400000,0.7,0.1,0.1
NGC3783 ,Supermassive,29800000,5400000,5400000,0.98,0.02,0
Mrk335,Supermassive,14200000,3700000,3700000,0.83,0.09,0.13
MCG_6_30_15 ,Supermassive,2900000,1800000,1600000,0.98,0.02,0
Mrk_110,Supermassive,25100000,6100000,6100000,0.89,0.11,0.2
NGC_7469,Supermassive,12200000,1400000,1400000,0.69,0.09,0.09
Ark_120,Supermassive,150000000,19000000,19000000,0.64,0.19,0.11
NGC_4051,Supermassive,1910000,780000,780000,0.99,0.01,0
M87,Supermassive,6500000000,700000000,700000000,0.9,0.1,0.1
3C120,Supermassive,55000000,31000000,22000000,0.95,0.05,0
ESO_362_G18 ,Supermassive,12500000,4500000,4500000,0.92,0.08,0
H1821+643,Supermassive,4500000000,1500000000,1500000000,0.4,0.6,0
NGC4151,Supermassive,45700000,5700000,4700000,0.9,0.1,0.1
OJ_287,Supermassive,18348000000,7920000,7920000,0.381,0.004,0.004
UGC_06728,Supermassive,710000,400000,400000,0.7,0.3,0
